Sample Type,depth,,Formation,HI,Tmax
,2690,,Pariwar,134,429
,2695,,Pariwar,212,430
,2700,,Pariwar,255,431
,2705,,Pariwar,206,431
,2710,,Pariwar,107,436
,2715,,Pariwar,242,430
,2720,,Pariwar,189,430
,2725,,Pariwar,229,431
,2730,,Pariwar,213,432
,2735,,Pariwar,232,430
,2740,,Pariwar,156,438
,2745,,Pariwar,156,437
,2750,,Pariwar,194,425
,2755,,Pariwar,156,437
,2760,,Pariwar,270,433
,2765,,Pariwar,145,440
,2770,,Pariwar,167,436
,2775,,Pariwar,259,350
,2780,,Pariwar,234,435
,2785,,Pariwar,177,437
,2790,,Pariwar,250,430
,2795,,Pariwar,193,437
,2800,,Pariwar,175,436
,2805,,Pariwar,189,436
,2810,,Pariwar,173,435
,2815,,Pariwar,225,433
,2820,,Pariwar,226,435
,2825,,Pariwar,233,432
,2830,,Pariwar,250,432
,2835,,Pariwar,239,421
,2840,,Pariwar,234,432
,2845,,Pariwar,218,430
,2850,,Pariwar,96,441
,2855,,Pariwar,106,431
,2860,,Pariwar,101,436
,2865,,Pariwar,143,438
,2870,,Pariwar,118,436
,2875,,Pariwar,138,437
,2880,,Pariwar,139,439
,2885,,Pariwar,112,436
,2890,,Pariwar,178,439
